Subject,versions,LoC,Functions,Predicates,Tests,Language
Mockito,30,7574,1086,1760,1,Java
Mockito,31,7572,1086,1758,1,Java
Mockito,32,7360,1061,1720,1,Java
Mockito,33,7336,1061,1706,1,Java
Mockito,34,6377,963,1592,1,Java
Mockito,35,6165,935,1541,1,Java
Mockito,36,6073,923,1528,1,Java
Mockito,37,6065,922,1522,1,Java
Mockito,38,5510,845,1396,1,Java
Closure,1,90698,10411,45252,375,Java
Closure,2,90537,10398,45198,6759,Java
Closure,3,90714,10421,45240,359,Java
Closure,4,90684,10419,45226,6884,Java
Closure,5,90270,10405,44826,315,Java
Closure,6,90240,10399,44855,6675,Java
Closure,7,89904,10383,44726,6649,Java
Closure,8,89309,10340,44402,283,Java
Closure,9,89291,10340,44395,118,Java
Closure,10,89332,10339,44444,6517,Java
Closure,11,88928,10331,44409,6587,Java
Closure,12,88601,10288,44242,352,Java
Closure,13,88557,10279,44199,609,Java
Closure,14,88488,10268,44158,3340,Java
Closure,15,88467,10265,44144,334,Java
Closure,16,88493,10266,44157,391,Java
Closure,17,88488,10266,44154,6540,Java
Closure,18,88489,10266,44163,6542,Java
Closure,19,88488,10266,44163,6539,Java
Closure,20,88398,10259,44111,370,Java
Closure,21,88415,10259,44128,6530,Java
Closure,22,88421,10259,44138,6530,Java
Closure,23,88023,10172,44043,373,Java
Closure,24,87793,10085,43739,381,Java
Closure,25,87758,10079,43728,2897,Java
Closure,26,87753,10079,43726,6490,Java
Closure,27,87680,10070,43704,6879,Java
Closure,28,87675,10069,43704,672,Java
Closure,29,87662,10068,43700,292,Java
Closure,30,86830,10007,43272,338,Java
Closure,31,86805,10006,43260,6439,Java
Closure,32,86793,10006,43203,5083,Java
Closure,33,86743,10004,43187,7222,Java
Closure,34,86662,9997,43160,4019,Java
Closure,35,85970,9938,42700,2822,Java
Closure,36,85941,9931,42689,385,Java
Closure,37,85835,9916,42643,6547,Java
Closure,38,85618,9882,42614,4008,Java
Closure,39,85478,9877,42321,7155,Java
Closure,40,85473,9876,42320,523,Java
Closure,41,85352,9868,42264,6363,Java
Closure,42,85338,9868,42261,6286,Java
Closure,43,85319,9869,42257,6222,Java
Closure,44,84187,9678,41910,3832,Java
Closure,45,84152,9666,41939,178,Java
Closure,46,84467,9697,42057,3219,Java
Closure,47,84039,9608,41818,6219,Java
Closure,48,83919,9600,41751,6197,Java
Closure,49,91675,10010,48806,1842,Java
Closure,50,91393,9973,48714,102,Java
Closure,51,91282,9960,48698,3824,Java
Closure,52,91037,9935,48449,3804,Java
Closure,53,90349,9854,48254,117,Java
Closure,54,89770,9810,47475,6966,Java
Closure,55,89492,9794,47349,97,Java
Closure,56,89346,9780,47259,6087,Java
Closure,57,89239,9766,47307,6064,Java
Closure,58,89122,9750,47271,178,Java
Closure,59,87936,9646,46926,6043,Java
Closure,60,87376,9454,45228,5995,Java
Closure,61,87206,9443,45228,5988,Java
Closure,62,87214,9443,45218,6051,Java
Closure,63,87212,9443,45218,6051,Java
Closure,64,86611,9379,45038,6005,Java
Closure,65,86567,9357,45046,3733,Java
Closure,66,86479,9353,44993,5986,Java
Closure,67,86461,9352,44980,135,Java
Closure,68,86445,9349,44978,4610,Java
Closure,69,86471,9349,44980,5986,Java
Closure,70,85981,9316,44634,5969,Java
Closure,71,83289,9112,40427,5925,Java
Closure,72,82826,9066,40183,421,Java
Closure,73,81661,8931,39228,3601,Java
Closure,74,81069,8869,39141,171,Java
Closure,75,80761,8827,39019,5765,Java
Closure,76,79485,8513,38002,108,Java
Closure,77,79439,8511,37983,3477,Java
Closure,78,79440,8511,37983,157,Java
Closure,79,79023,8470,37648,5676,Java
Closure,80,78982,8463,37637,5635,Java
Closure,81,78641,8427,37523,5727,Java
Closure,82,77824,8334,37176,6359,Java
Closure,83,77334,8349,36856,54,Java
Closure,84,77078,8673,37498,5573,Java
Closure,85,76890,8647,37431,78,Java
Closure,86,76375,8579,37281,5375,Java
Closure,87,76272,8570,37215,113,Java
Closure,88,76239,8569,37187,93,Java
Closure,89,75439,8491,36925,444,Java
Closure,90,75359,8483,37042,6034,Java
Closure,91,75270,8477,37019,97,Java
Closure,92,75189,8473,36954,1808,Java
Closure,93,75113,8458,36908,1801,Java
Closure,94,74965,8445,36838,5158,Java
Closure,95,70975,8064,35514,2286,Java
Closure,96,70758,8115,36639,5084,Java
Closure,97,67714,7725,34378,83,Java
Closure,98,66417,7554,31319,374,Java
Closure,99,66405,7553,31314,76,Java
Closure,100,66197,7519,31252,72,Java
Closure,101,63090,7243,29976,22,Java
Closure,102,62539,7118,29781,779,Java
Closure,103,62528,7121,29750,1489,Java
Closure,104,62528,7121,29747,4376,Java
Closure,105,61686,7010,29332,107,Java
Closure,106,59030,6284,27698,1210,Java
Closure,107,104416,11910,51287,116,Java
Closure,108,104405,11910,51285,453,Java
Closure,109,104019,11874,51163,6119,Java
Closure,110,103152,11872,50056,8113,Java
Closure,111,95427,10876,47164,2499,Java
Closure,112,94951,10834,46910,3223,Java
Closure,113,94946,10834,46887,2643,Java
Closure,114,94946,10834,46884,639,Java
Closure,115,94944,10834,46892,694,Java
Closure,116,94929,10834,46878,697,Java
Closure,117,94849,10820,46834,7150,Java
Closure,118,94848,10822,46823,7143,Java
Closure,119,94847,10822,46823,913,Java
Closure,120,94785,10819,46793,7135,Java
Closure,121,94799,10820,46797,462,Java
Closure,122,94664,10815,46756,7203,Java
Closure,123,94381,10783,46608,4493,Java
Closure,124,94124,10745,46521,317,Java
Closure,125,93413,10711,46152,7062,Java
Closure,126,91637,10539,45375,319,Java
Closure,127,91628,10538,45367,337,Java
Closure,128,91356,10518,45280,4284,Java
Closure,129,91353,10518,45278,6783,Java
Closure,130,91273,10486,45568,578,Java
Closure,131,91271,10486,45562,2988,Java
Closure,132,91211,10480,45541,397,Java
Closure,133,91171,10472,45572,5510,Java
Closure,134,60872,6904,29095,1201,Java
Closure,135,61567,6989,29344,4317,Java
Closure,136,62914,7223,29883,102,Java
Closure,137,62953,7233,29885,3655,Java
Closure,138,63007,7239,29929,1279,Java
Closure,139,63047,7240,29954,819,Java
Closure,140,63078,7242,29972,3693,Java
Closure,141,63108,7244,29978,3675,Java
Closure,142,63641,7284,30148,2600,Java
Closure,143,63657,7284,30157,92,Java
Closure,144,66843,7606,31567,5575,Java
Closure,145,66915,7612,31605,2799,Java
Closure,146,67154,7684,31745,5615,Java
Closure,147,67394,7696,33563,102,Java
Closure,148,67511,7710,33560,93,Java
Closure,149,68943,7909,34822,5009,Java
Closure,150,70939,8058,35501,2281,Java
Closure,151,71117,8073,35571,40,Java
Closure,152,75338,8483,37032,6025,Java
Closure,153,76054,8554,37118,5298,Java
Closure,154,78951,8459,37614,5658,Java
Closure,155,80434,8799,38877,5763,Java
Closure,156,80577,8817,38934,333,Java
Closure,157,80776,8829,39024,5923,Java
Closure,158,80973,8851,39114,5816,Java
Closure,159,81656,8929,39229,287,Java
Closure,160,86379,9350,44908,5980,Java
Closure,161,88525,9676,47091,181,Java
Closure,162,89793,9812,47473,5176,Java
Closure,163,83880,9630,41819,407,Java
Closure,164,85544,9880,42495,6765,Java
Closure,165,87759,10079,43727,7282,Java
Closure,166,88548,10279,44193,7353,Java
Closure,167,88564,10281,44212,7355,Java
Closure,168,88651,10296,44269,6560,Java
Closure,169,89912,10384,44713,7461,Java
Closure,170,92236,10596,45628,377,Java
Closure,171,94190,10762,46568,7100,Java
Closure,172,94665,10815,46754,7121,Java
Closure,173,94829,10821,46820,4508,Java
Closure,174,94927,10834,46885,7106,Java
Closure,175,103990,11866,51174,699,Java
Closure,176,104332,11907,51200,3251,Java
